mlsname,streetaddress,bathrooms,datelisted,appliances,description,price,bedrooms,mlsid,rooms
CLAW,0 Castro Peak Mountainway,,2014-10-03 00:00:00,,,535000.00,0,14799273
CLAW,0 SADDLE PEAK RD,,2014-10-17 00:00:00,,,200000.00,0,14802845
CLAW,21310 PACIFIC COAST HWY,,2015-03-03 00:00:00,"
Built-Ins
Range Hood
Microwave
RangeOven
",,23500.00,3,15883387,"
bedrooms
bathrooms
"
CLAW,23826 MALIBU RD,,2015-03-18 00:00:00,"
Built-Ins
Range Hood
Microwave
RangeOven
",,72500.00,5,15888095,"
bedrooms
bathrooms
"
CLAW,943 16th ST,,2015-11-18 00:00:00,"
RangeOven
",,230000.00,2,15959941,"
bedrooms
bathrooms
"
CLAW,27061 SEA VISTA DR,,2015-12-11 00:00:00,,,2988000.00,0,15965091
CLAW,27086 MALIBU COVE COLONY DR,,2016-03-16 00:00:00,"
Built-Ins
Microwave
RangeOven
",,25000.00,3,16106762,"
bedrooms
bathrooms
"
CLAW,36 BREEZE AVE,,2016-03-25 00:00:00,"
Built-Ins
Microwave
Built-In Gas
Cooktop - Gas
Double Oven
Range Hood
",,6500.00,2,16109128,"
bedrooms
bathrooms
"
CLAW,31652 BROAD BEACH RD,,2016-04-12 00:00:00,"
Built-Ins
Range Hood
RangeOven
",,5800000.00,3,16114818,"
bedrooms
bathrooms
"
CLAW,1912 KELTON AVE,,2016-04-13 00:00:00,,,5499.00,3,16115130,"
bedrooms
bathrooms
"
CLAW,11258 Laurie Drive,,2016-04-14 00:00:00,,,798000.00,0,16115640
CLAW,28011 PAQUET PL,,2016-04-25 00:00:00,"
Built-In BBQ
RangeOven
",,6995000.00,5,16118008,"
bedrooms
bathrooms
"
CLAW,6237 BONSALL DR,,2016-05-06 00:00:00,,,6649000.00,3,16122648,"
bedrooms
bathrooms
"
CLAW,0 BROAD BEACH RD,,2016-05-16 00:00:00,"
Built-In BBQ
Built-Ins
Microwave
RangeOven
",,150000.00,6,16125100,"
bedrooms
bathrooms
"
CLAW,31341 BIRDELLA RD,,2016-05-26 00:00:00,,,5975.00,4,16129206,"
bedrooms
bathrooms
"
CLAW,32036 PACIFIC COAST HWY,,2016-06-02 00:00:00,,,2450000.00,0,16130744
CLAW,888 Blackmore DR,,2016-06-05 00:00:00,,,2888000.00,0,16132084
CLAW,19252 PACIFIC COAST HWY,,2016-06-06 00:00:00,"
Built-In BBQ
Microwave
RangeOven
",,27500.00,3,16132158,"
bedrooms
bathrooms
"
CLAW,1970 N GRAMERCY PL,,2016-07-15 00:00:00,"
RangeOven
",,1699000.00,3,16133142,"
bedrooms
bathrooms
"
CLAW,9229 Crescent Drive,,2016-06-11 00:00:00,,,1498000.00,0,16134056
CLAW,2401 Laurel Canyon Boulevard,,2016-06-14 00:00:00,,,1298000.00,0,16134704
CLAW,24808 Woolsey Canyon RD,,2016-06-14 00:00:00,,,1298000.00,0,16134756
CLAW,386 ENTRADA DR,,2016-06-16 00:00:00,"
Range Hood
Microwave
Cooktop - Gas
Oven-Gas
",,1749000.00,2,16134906,"
bedrooms
bathrooms
"
CLAW,7350 PACIFIC VIEW DR,,2016-06-16 00:00:00,"
Built-Ins
Range Hood
RangeOven
",,2195000.00,3,16135516,"
bedrooms
bathrooms
"
CLAW,3464 SWEETWATER MESA RD,,2016-07-06 00:00:00,"
Built-In BBQ
Built-Ins
RangeOven
",,17500000.00,5,16136820,"
bedrooms
bathrooms
"
CLAW,1422 SAN YSIDRO DR,,2016-06-22 00:00:00,"
Range Hood
Microwave
",,2035000.00,2,16137056,"
bedrooms
bathrooms
"
CLAW,6225 GAYTON PL,,2016-06-24 00:00:00,"
Built-In BBQ
RangeOven
",,3195000.00,4,16137086,"
bedrooms
bathrooms
"
CLAW,1116 LINDA FLORA DR,,2016-07-06 00:00:00,"
Built-In BBQ
Built-Ins
Range Hood
Microwave
RangeOven
",,34999.00,5,16141262,"
bedrooms
bathrooms
"
CLAW,2317 Dickenson RD,,2016-07-11 00:00:00,"
Built-In BBQ
",,20000000.00,3,16142180,"
bedrooms
bathrooms
"
CLAW,514 LILLIAN WAY,,2016-07-21 00:00:00,"
Built-In Gas
",,1399000.00,3,16142204,"
bedrooms
bathrooms
"
CLAW,2600 Canada Este RD,,2016-07-18 00:00:00,"
Built-Ins
Range Hood
Microwave
RangeOven
",,5495000.00,6,16144050,"
bedrooms
bathrooms
"
CLAW,602 PALISADES BEACH RD,,2016-07-21 00:00:00,,,10500000.00,7,16145020,"
bedrooms
bathrooms
"
CLAW,4906 MENDOTA AVE,,2016-07-22 00:00:00,,,468300.00,2,16146358,"
bedrooms
bathrooms
"
CLAW,4017 E 6TH ST,,2016-07-22 00:00:00,,,336900.00,2,16146576,"
bedrooms
bathrooms
"
CLAW,29220 WAGON RD,,2016-07-29 00:00:00,"
Built-In BBQ
Range Hood
Microwave
RangeOven
",,2688000.00,6,16148546,"
bedrooms
bathrooms
"
CLAW,29672 ZUMA BAY WAY,,2016-08-05 00:00:00,"
Built-Ins
",,1900000.00,3,16150042,"
bedrooms
bathrooms
"
CLAW,1961 DE MILLE DR,,2016-08-09 00:00:00,,,5540000.00,6,16150280,"
bedrooms
bathrooms
"
CLAW,27112 MALIBU COVE COLONY DR,,2016-08-05 00:00:00,"
Range Hood
Microwave
",,20000.00,3,16150318,"
bedrooms
bathrooms
"
CLAW,181 SURFVIEW DR,,2016-08-05 00:00:00,"
Built-Ins
Microwave
RangeOven
",,10815.00,4,16150758,"
bedrooms
bathrooms
"
CLAW,4960 VANALDEN AVE,,2016-08-11 00:00:00,"
Built-In BBQ
Built-Ins
Range Hood
Microwave
RangeOven
Convection Oven
Cooktop - Gas
Double Oven
Gas
Oven-Gas
",,3495000.00,7,16151208,"
bedrooms
bathrooms
"
CLAW,19355 PACIFIC COAST HWY,,2016-08-10 00:00:00,"
RangeOven
",,3500.00,1,16151674,"
bedrooms
bathrooms
"
CLAW,7135 HOLLYWOOD,,2016-08-15 00:00:00,"
Built-Ins
",,650000.00,1,16153228,"
bedrooms
bathrooms
"
CLAW,9640 SIERRA HWY,,2016-08-22 00:00:00,"
RangeOven
",,12800000.00,5,16154748,"
bedrooms
bathrooms
"
CLAW,6420 SYCAMORE MEADOWS DR,,2016-08-30 00:00:00,,,10500.00,4,16154856,"
bedrooms
bathrooms
"
CLAW,6410 SURFSIDE WAY,,2016-08-19 00:00:00,"
RangeOven
",,2288000.00,3,16154966,"
bedrooms
bathrooms
"
CLAW,24014 PARK CASINO,,2016-08-22 00:00:00,"
Built-In BBQ
Built-Ins
Range Hood
RangeOven
",,1719500.00,4,16155556,"
bedrooms
bathrooms
"
CLAW,1100 N BEVERLY GLEN,,2016-08-22 00:00:00,"
Range Hood
RangeOven
",,5700.00,3,16155592,"
bedrooms
bathrooms
"
CLAW,1016 OAKWOOD AVE,,2016-08-26 00:00:00,"
RangeOven
",,1450000.00,3,16156574,"
bedrooms
bathrooms
"
CLAW,5100 ANGELES VISTA BLVD,,2016-08-26 00:00:00,"
Built-Ins
Range Hood
Microwave
RangeOven
",,975000.00,3,16157052,"
bedrooms
bathrooms
"
CLAW,200 TOYOPA DR,,2016-08-29 00:00:00,"
Built-In BBQ
Built-Ins
Range Hood
Microwave
RangeOven
Cooktop - Gas
Double Oven
",,20000000.00,7,16157428,"
bedrooms
bathrooms
"
CLAW,16242 SHADOW MOUNTAIN DR,,2016-09-02 00:00:00,"
Built-In BBQ
Built-Ins
Microwave
RangeOven
",,10620000.00,8,16157766,"
bedrooms
bathrooms
"
CLAW,22042 CARBON MESA RD,,2016-08-30 00:00:00,"
Built-In BBQ
Built-Ins
RangeOven
",,2995000.00,5,16157850,"
bedrooms
bathrooms
"
CLAW,6420 SYCAMORE MEADOWS DR,,2016-08-31 00:00:00,,,3169000.00,4,16158240,"
bedrooms
bathrooms
"
